PASSING_ATT,PASSING_CMP,PASSING_YDS,PASSING_TDS,PASSING_INTS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,PLAYER,FANTASY_PTS,OVERALL_RANK
0.0,0.0,0.0,0.0,0.0,5.6,31.5,0.3,0.1,57.6,WR,2025-08-14 15:04:30,30.3,388.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tre Tucker LV,57.4,249
0.0,0.0,0.0,0.0,0.0,72.3,259.1,1.8,0.1,56.6,RB,2025-08-14 15:04:27,20.0,146.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Woody Marks HOU,57.15,250
0.0,0.0,0.0,0.0,0.0,1.8,4.1,0.0,0.4,56.9,WR,2025-08-14 15:04:30,27.9,367.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jalen Nailor MIN,56.79,251
0.0,0.0,0.0,0.0,0.0,41.8,185.1,1.1,0.4,56.6,RB,2025-08-14 15:04:27,27.3,222.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Justice Hill BAL,56.74,252
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,56.6,WR,2025-08-14 15:04:30,30.4,363.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrei Iosivas CIN,56.55,253
0.0,0.0,0.0,0.0,0.0,2.6,10.0,0.1,0.0,55.7,WR,2025-08-14 15:04:30,24.3,402.9,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marquez Valdes-Scantling SEA,56.29,254
0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.1,55.5,WR,2025-08-14 15:04:30,32.9,428.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jalen Coker CAR,55.5,255
0.0,0.0,0.0,0.0,0.0,1.1,13.9,0.0,0.1,55.6,WR,2025-08-14 15:04:30,34.1,397.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jordan Whittington LAR,55.37,256
0.0,0.0,0.0,0.0,0.0,1.0,8.7,0.0,0.7,54.4,WR,2025-08-14 15:04:30,33.5,426.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tory Horton SEA,54.74,257
159.8,100.2,956.8,4.2,3.5,14.1,44.0,0.7,1.0,58.1,QB,2025-08-14 15:04:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenny Pickett CLE,54.67,258
0.0,0.0,0.0,0.0,0.0,75.6,330.0,1.7,0.0,54.1,RB,2025-08-14 15:04:27,8.6,83.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Keaton Mitchell BAL,54.54,259
0.0,0.0,0.0,0.0,0.0,51.2,200.4,1.5,0.7,53.5,RB,2025-08-14 15:04:27,21.2,195.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Samaje Perine CIN,53.81,260
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,53.0,WR,2025-08-14 15:04:30,29.1,393.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dont'e Thornton Jr. LV,53.23,261
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,52.7,WR,2025-08-14 15:04:30,30.7,375.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pat Bryant DEN,52.96,262
123.6,77.6,849.1,4.3,3.7,14.8,71.1,0.7,1.1,56.6,QB,2025-08-14 15:04:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jaxson Dart NYG,52.87,263
0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,52.8,WR,2025-08-14 15:04:30,27.5,346.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dontayvion Wicks GB,52.77,264
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,52.2,WR,2025-08-14 15:04:30,28.7,368.4,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Allen Lazard NYJ,52.24,265
0.0,0.0,0.0,0.0,0.0,45.7,208.1,1.0,0.1,51.6,RB,2025-08-14 15:04:27,15.2,165.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ty Johnson BUF,52.12,266
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,TE,2025-08-14 15:04:33,37.8,370.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Will Dissly LAC,52.05,267
0.0,0.0,0.0,0.0,0.0,2.5,11.5,0.1,0.2,51.9,WR,2025-08-14 15:04:30,26.6,368.6,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adonai Mitchell IND,52.01,268
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,51.8,WR,2025-08-14 15:04:30,31.8,406.4,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noah Brown WAS,51.84,269
0.0,0.0,0.0,0.0,0.0,84.6,325.0,2.1,0.0,51.8,RB,2025-08-14 15:04:27,8.3,54.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Khalil Herbert IND,51.7,270
