UNNAMED:_0_LEVEL_0_PLAYER,PASSING_ATT,PASSING_CMP,PASSING_YDS,PASSING_TDS,PASSING_INTS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,PLAYER,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FANTASY_PTS
Luke Musgrave GB,,,,,,,,,0.0,27.1,TE,2025-08-14 15:04:33,19.1,186.4,1.4,,,,,,,,,,,,,,27.04
Brock Wright DET,,,,,,,,,0.0,26.4,TE,2025-08-14 15:04:33,15.0,134.8,2.2,,,,,,,,,,,,,,26.680000000000003
Ben Sinnott WAS,,,,,,,,,0.1,26.4,TE,2025-08-14 15:04:33,17.9,177.0,1.5,,,,,,,,,,,,,,26.5
Robert Woods PIT,,,,,,0.0,0.0,0.0,0.1,26.5,WR,2025-08-14 15:04:30,18.5,193.0,1.2,,,,,,,,,,,,,,26.3
Jordan James SF,,,,,,26.9,154.8,1.3,0.0,26.1,RB,2025-08-14 15:04:27,3.3,29.5,0.0,,,,,,,,,,,,,,26.23
Brashard Smith KC,,,,,,9.7,97.0,0.7,0.0,25.5,RB,2025-08-14 15:04:27,10.9,80.3,0.7,,,,,,,,,,,,,,26.13
Zay Jones ARI,,,,,,0.0,2.0,0.0,0.1,25.6,WR,2025-08-14 15:04:30,16.8,179.7,1.3,,,,,,,,,,,,,,25.77
Ollie Gordon II MIA,,,,,,31.9,151.3,1.2,0.4,26.1,RB,2025-08-14 15:04:27,5.1,36.3,0.1,,,,,,,,,,,,,,25.76
Cade Stover HOU,,,,,,,,,0.1,25.6,TE,2025-08-14 15:04:33,18.5,180.3,1.3,,,,,,,,,,,,,,25.630000000000003
Oronde Gadsden II LAC,,,,,,,,,0.0,25.1,TE,2025-08-14 15:04:33,16.5,168.9,1.4,,,,,,,,,,,,,,25.29
Amar Johnson GB,,,,,,35.0,164.0,1.0,0.0,25.0,RB,2025-08-14 15:04:27,2.0,26.0,0.0,,,,,,,,,,,,,,25.000000000000004
Kalif Raymond DET,,,,,,0.0,4.0,0.0,0.6,24.9,WR,2025-08-14 15:04:30,14.7,185.8,1.2,,,,,,,,,,,,,,24.98
Audric Estime DEN,,,,,,45.5,148.6,0.9,0.4,25.1,RB,2025-08-14 15:04:27,5.8,40.1,0.2,,,,,,,,,,,,,,24.669999999999998
Jahan Dotson PHI,,,,,,0.0,1.7,0.0,0.0,24.8,WR,2025-08-14 15:04:30,15.4,178.5,1.1,,,,,,,,,,,,,,24.620000000000005
Kyle Juszczyk SF,,,,,,6.7,26.8,0.4,0.4,24.2,RB,2025-08-14 15:04:27,14.1,136.3,1.1,,,,,,,,,,,,,,24.51
Isaiah Davis NYJ,,,,,,28.3,144.5,0.8,0.0,23.7,RB,2025-08-14 15:04:27,5.1,36.3,0.1,,,,,,,,,,,,,,23.48
Jeremy Ruckert NYJ,,,,,,,,,0.0,23.4,TE,2025-08-14 15:04:33,18.7,161.3,1.2,,,,,,,,,,,,,,23.330000000000002
