UNNAMED:_0_LEVEL_0_PLAYER,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE
Arian Smith NYJ,11.2,134.3,0.7,0.0,3.5,0.0,0.0,17.8,WR,2025-08-14 15:04:30
Jha'Quan Jackson TEN,11.4,138.3,0.8,0.0,1.7,0.0,0.5,17.7,WR,2025-08-14 15:04:30
Savion Williams GB,9.1,104.8,0.8,4.4,16.4,0.1,0.0,17.5,WR,2025-08-14 15:04:30
Quez Watkins ARI,10.6,127.3,0.8,0.0,0.0,0.0,0.0,17.4,WR,2025-08-14 15:04:30
Mack Hollins NE,9.2,115.5,0.9,0.0,1.7,0.0,0.1,17.1,WR,2025-08-14 15:04:30
Erik Ezukanma MIA,10.8,120.9,0.8,0.0,0.0,0.0,0.0,16.8,WR,2025-08-14 15:04:30
Xavier Restrepo TEN,10.0,105.0,1.0,0.0,2.0,0.0,0.0,16.7,WR,2025-08-14 15:04:30
KhaDarel Hodge ATL,8.8,113.7,0.6,0.0,0.0,0.0,0.1,15.1,WR,2025-08-14 15:04:30
Bub Means NO,9.5,106.8,0.6,0.0,2.3,0.0,0.0,14.6,WR,2025-08-14 15:04:30
DeAndre Carter CLE,10.8,125.4,0.5,0.0,2.0,0.0,0.5,14.6,WR,2025-08-14 15:04:30
Tylan Wallace BAL,6.7,90.0,0.9,0.0,1.7,0.0,0.0,14.3,WR,2025-08-14 15:04:30
Simi Fehoko ARI,7.6,91.5,0.7,0.0,0.0,0.0,0.0,13.1,WR,2025-08-14 15:04:30
Jamal Agnew ATL,8.6,85.8,0.7,0.0,0.0,0.0,0.0,12.8,WR,2025-08-14 15:04:30
Olamide Zaccheaus CHI,7.6,81.8,0.6,1.1,6.0,0.0,0.0,12.4,WR,2025-08-14 15:04:30
Cedrick Wilson Jr. NO,7.9,88.4,0.5,0.0,2.0,0.0,0.0,12.1,WR,2025-08-14 15:04:30
Hunter Renfrow CAR,9.3,90.1,0.4,0.0,0.0,0.0,0.0,11.5,WR,2025-08-14 15:04:30
KeAndre Lambert-Smith LAC,5.9,77.7,0.6,0.0,3.0,0.0,0.0,11.4,WR,2025-08-14 15:04:30
Tim Jones MIN,7.1,77.1,0.6,0.0,0.0,0.0,0.1,11.4,WR,2025-08-14 15:04:30
Devontez Walker BAL,4.9,68.5,0.6,0.0,1.7,0.0,0.0,10.8,WR,2025-08-14 15:04:30
Bo Melton GB,6.2,74.0,0.6,0.0,0.0,0.0,0.0,10.8,WR,2025-08-14 15:04:30
Ben Skowronek PIT,6.5,72.3,0.5,0.0,0.0,0.0,0.0,10.3,WR,2025-08-14 15:04:30
Maurice Alexander CHI,6.3,68.2,0.4,0.0,0.0,0.0,0.0,9.3,WR,2025-08-14 15:04:30
Samori Toure CHI,6.1,67.7,0.4,0.0,0.0,0.0,0.0,9.2,WR,2025-08-14 15:04:30
David Moore CAR,5.8,72.3,0.3,0.0,0.0,0.0,0.0,9.0,WR,2025-08-14 15:04:30
Xavier Weaver ARI,5.2,61.3,0.5,0.0,0.0,0.0,0.0,9.0,WR,2025-08-14 15:04:30
Malik Heath GB,5.5,62.2,0.5,0.0,0.0,0.0,0.0,8.9,WR,2025-08-14 15:04:30
Tommy Mellott LV,3.7,43.6,0.2,4.0,24.1,0.2,0.0,8.8,WR,2025-08-14 15:04:30
Dante Pettis NO,5.5,62.9,0.2,2.1,9.7,0.0,0.0,8.5,WR,2025-08-14 15:04:30
Johnny Wilson PHI,4.4,55.4,0.4,0.0,0.0,0.0,0.0,8.1,WR,2025-08-14 15:04:30
Justin Watson HOU,4.4,60.1,0.3,0.0,0.0,0.0,0.0,7.7,WR,2025-08-14 15:04:30
Derius Davis LAC,2.8,31.2,0.1,10.5,35.4,0.2,0.6,7.5,WR,2025-08-14 15:04:30
Rondale Moore MIN,5.1,46.9,0.4,0.0,5.5,0.0,0.0,7.3,WR,2025-08-14 15:04:30
Charlie Jones CIN,4.0,46.4,0.3,0.0,1.7,0.0,0.0,6.4,WR,2025-08-14 15:04:30
Kendric Pryor CIN,3.9,41.8,0.3,0.0,0.0,0.0,0.0,6.2,WR,2025-08-14 15:04:30
Jonathan Mingo DAL,4.2,49.8,0.2,0.0,0.0,0.0,0.0,6.2,WR,2025-08-14 15:04:30
Trishton Jackson ARI,3.4,40.6,0.3,0.0,0.0,0.0,0.0,6.1,WR,2025-08-14 15:04:30
Jordan Watkins SF,2.6,33.4,0.1,4.4,15.8,0.1,0.0,6.1,WR,2025-08-14 15:04:30
Dareke Young SEA,3.4,39.8,0.2,0.0,0.0,0.0,0.0,5.4,WR,2025-08-14 15:04:30
Cody White SEA,3.4,39.8,0.2,0.0,0.0,0.0,0.0,5.4,WR,2025-08-14 15:04:30
Jalen Brooks DAL,3.4,39.1,0.2,0.0,0.0,0.0,0.0,5.4,WR,2025-08-14 15:04:30
John Metchie III HOU,3.5,39.4,0.2,0.0,0.0,0.0,0.0,5.2,WR,2025-08-14 15:04:30
Bryce Oliver TEN,3.4,38.2,0.2,0.0,0.0,0.0,0.0,5.1,WR,2025-08-14 15:04:30
Sterling Shepard TB,3.4,33.5,0.2,0.0,3.7,0.0,0.0,5.0,WR,2025-08-14 15:04:30
Austin Trammell JAC,3.4,40.1,0.2,0.0,0.0,0.0,0.0,5.0,WR,2025-08-14 15:04:30
Xavier Gipson NYJ,4.2,54.3,0.0,0.0,2.5,0.0,0.5,4.9,WR,2025-08-14 15:04:30
Britain Covey LAR,1.8,21.0,0.1,2.2,13.7,0.1,0.0,4.8,WR,2025-08-14 15:04:30
Chris Blair ATL,3.2,34.6,0.2,0.0,0.0,0.0,0.0,4.8,WR,2025-08-14 15:04:30
Dee Eskridge MIA,3.0,32.8,0.2,0.0,1.7,0.0,0.0,4.7,WR,2025-08-14 15:04:30
Jamari Thrash CLE,3.4,40.0,0.1,0.0,0.0,0.0,0.0,4.5,WR,2025-08-14 15:04:30
Lil'Jordan Humphrey NYG,4.0,44.0,0.0,0.0,0.0,0.0,0.0,4.4,WR,2025-08-14 15:04:30
Brycen Tremayne CAR,3.0,33.0,0.2,0.0,0.0,0.0,0.0,4.3,WR,2025-08-14 15:04:30
Scotty Miller PIT,3.1,37.4,0.1,0.0,0.0,0.0,0.0,4.2,WR,2025-08-14 15:04:30
David Bell CLE,3.9,38.8,0.0,0.0,0.0,0.0,0.0,4.0,WR,2025-08-14 15:04:30
Tyler Scott CHI,2.7,29.4,0.1,0.0,1.7,0.0,0.0,3.9,WR,2025-08-14 15:04:30
Devin Duvernay CHI,3.5,34.5,0.2,0.0,2.0,0.0,0.5,3.8,WR,2025-08-14 15:04:30
Mecole Hardman Jr. GB,3.0,33.6,0.2,0.0,2.0,0.0,0.5,3.8,WR,2025-08-14 15:04:30
Nick Nash ATL,3.0,35.0,0.0,0.0,0.0,0.0,0.0,3.5,WR,2025-08-14 15:04:30
Ainias Smith PHI,2.2,24.7,0.1,0.0,0.0,0.0,0.0,3.3,WR,2025-08-14 15:04:30
Jacob Cowing SF,1.1,15.6,0.1,0.0,8.5,0.0,0.0,2.9,WR,2025-08-14 15:04:30
